,Date,GoldPrice,GoldVolume,SilverPrice,SilverVolume,OilPrice,OilVolume,GasPrice,GasVolume
0,2015-03-12,15.493000030518001,94.0,15.493000030518001,94.0,57.080001831055,129734.0,2.7339999675751,155481.0
1,2015-03-13,15.477000236511,59.0,15.477000236511,59.0,54.669998168945,84085.0,2.7269999980927,95866.0
2,2015-03-16,15.600999832153,71.0,15.600999832153,71.0,53.439998626709006,15638.0,2.7160000801086004,82668.0
3,2015-03-17,15.562000274658,39.0,15.562000274658,39.0,53.509998321533004,240285.0,2.8550000190735,159236.0
4,2015-03-18,15.52499961853,19.0,15.52499961853,19.0,55.909999847412,262440.0,2.920000076294,153505.0
5,2015-03-19,16.097999572754,8.0,16.097999572754,8.0,54.430000305176,209646.0,2.8129999637604,141093.0
6,2015-03-20,16.867000579834002,93.0,16.867000579834002,93.0,55.319999694824,186667.0,2.7860000133514,145544.0
7,2015-03-23,16.871999740601,149.0,16.871999740601,149.0,55.919998168945,191637.0,2.7330000400543,111016.0
8,2015-03-24,16.962999343872003,295.0,16.962999343872003,295.0,55.110000610352,197476.0,2.7860000133514,87787.0
9,2015-03-25,16.979999542235998,146.0,16.979999542235998,146.0,56.479999542236,256043.0,2.7230000495911004,54868.0
10,2015-03-26,17.121999740601,97.0,17.121999740601,97.0,59.189998626709006,334870.0,2.6719999313355,49630.0
11,2015-03-27,17.052000045776,11.0,17.052000045776,11.0,56.409999847412,223862.0,2.5899999141693,13458.0
12,2015-03-30,16.656999588013,8.0,16.656999588013,8.0,56.290000915527,220109.0,2.6440000534058,77701.0
13,2015-03-31,16.58099937439,24.0,16.58099937439,24.0,55.110000610352,238494.0,2.6400001049042,76705.0
14,2015-04-01,17.04400062561,50.0,17.04400062561,50.0,57.099998474121,256904.0,2.6050000190735,99015.0
15,2015-04-02,16.686000823975,38399.0,16.686000823975,38399.0,54.950000762939,288965.0,2.7130000591278,138646.0
16,2015-04-06,17.094999313354002,17.0,17.094999313354002,17.0,58.11999893188501,126804.0,2.6500000953674,70629.0
17,2015-04-07,16.825000762939,200.0,16.825000762939,200.0,59.099998474121,236714.0,2.6800000667572,105704.0
18,2015-04-08,16.440000534058,1.0,16.440000534058,1.0,55.549999237061,250564.0,2.6189999580383,131934.0
19,2015-04-09,16.163999557495,99.0,16.163999557495,99.0,56.569999694824,174812.0,2.5280001163482995,171401.0
20,2015-04-10,16.370000839233,5.0,16.370000839233,5.0,57.86999893188501,137659.0,2.5109999179840004,120054.0
21,2015-04-13,16.280000686645998,35535.0,16.280000686645998,35535.0,57.930000305176,119317.0,2.5109999179840004,150880.0
22,2015-04-14,16.150999069214002,23.0,16.150999069214002,23.0,58.430000305176,106803.0,2.5299999713898,145591.0
23,2015-04-15,16.268999099731,12732.0,16.268999099731,12732.0,60.319999694824,21182.0,2.6099998950958,136769.0
24,2015-04-16,16.275999069214002,12.0,16.275999069214002,12.0,63.979999542236,293485.0,2.6840000152587997,186382.0
25,2015-04-17,16.221000671387,11634.0,16.221000671387,11634.0,63.450000762939,220117.0,2.6340000629425,86587.0
26,2015-04-20,15.883000373839998,14046.0,15.883000373839998,14046.0,63.450000762939,239802.0,2.5360000133514,118341.0
27,2015-04-21,16.002000808715998,1.0,16.002000808715998,1.0,62.080001831055,218306.0,2.5750000476837003,103646.0
28,2015-04-22,15.791000366211,21232.0,15.791000366211,21232.0,62.729999542236,230058.0,2.6059999465942,83370.0
29,2015-04-23,15.824000358582001,20776.0,15.824000358582001,20776.0,64.849998474121,326736.0,2.5309998989105003,133446.0
30,2015-04-24,15.630999565125,33272.0,15.630999565125,33272.0,65.279998779297,259489.0,2.5309998989105003,39874.0
31,2015-04-27,16.389999389648,70.0,16.389999389648,70.0,64.830001831055,189765.0,2.4900000095367,69051.0
32,2015-04-28,16.586999893188,50.0,16.586999893188,50.0,64.639999389648,196461.0,2.5169999599457,11834.0
33,2015-04-29,16.670000076294,16432.0,16.670000076294,16432.0,65.839996337891,238435.0,2.6059999465942,108178.0
34,2015-04-30,16.124000549316,2479.0,16.124000549316,2479.0,66.779998779297,223481.0,2.7509999275207995,228134.0
35,2015-05-01,16.111000061035,733.0,16.111000061035,733.0,66.459999084473,189316.0,2.7760000228882005,118891.0
36,2015-05-04,16.417999267578,71.0,16.417999267578,71.0,66.449996948242,120212.0,2.8210000991821005,86811.0
37,2015-05-05,16.556999206543,47.0,16.556999206543,47.0,67.519996643066,255639.0,2.7799999713898,83526.0
38,2015-05-06,16.483999252319,98.0,16.483999252319,98.0,67.769996643066,296738.0,2.7760000228882005,111314.0
39,2015-05-07,16.271999359131,101.0,16.271999359131,101.0,65.540000915527,292892.0,2.7339999675751,149382.0
40,2015-05-08,16.441999435425,67.0,16.441999435425,67.0,65.389999389648,248593.0,2.8800001144409,201286.0
41,2015-05-11,16.298000335693,242.0,16.298000335693,242.0,64.910003662109,202511.0,2.8020000457764,124584.0
42,2015-05-12,16.510000228882,28.0,16.510000228882,28.0,66.860000610352,183265.0,2.8970000743866002,153769.0
43,2015-05-13,17.207000732422,137.0,17.207000732422,137.0,66.80999755859399,120834.0,2.9349999427794997,142743.0
44,2015-05-14,17.448999404907,15.0,17.448999404907,15.0,66.589996337891,23192.0,3.0079998970032,184911.0
45,2015-05-15,17.545000076294,44.0,17.545000076294,44.0,66.80999755859399,206137.0,3.0160000324249,96222.0
46,2015-05-18,17.711999893188,215.0,17.711999893188,215.0,66.269996643066,198219.0,3.0099999904633,95155.0
47,2015-05-19,17.049999237061,24.0,17.049999237061,24.0,64.019996643066,253354.0,2.9479999542236,194666.0
48,2015-05-20,17.091999053955,8.0,17.091999053955,8.0,65.029998779297,210395.0,2.914999961853,113970.0
49,2015-05-21,17.111000061035,11.0,17.111000061035,11.0,66.540000915527,250909.0,2.9489998817444,146213.0
50,2015-05-22,17.030000686645998,15.0,17.030000686645998,15.0,65.370002746582,184554.0,2.8870000839233,65659.0
51,2015-05-26,16.733999252319,114.0,16.733999252319,114.0,63.720001220703004,224131.0,2.8220000267029,59021.0
52,2015-05-27,16.638000488281,163.0,16.638000488281,163.0,62.060001373290994,257061.0,2.8150000572205003,11494.0
53,2015-05-28,16.65299987793,73.0,16.65299987793,73.0,62.580001831055,238590.0,2.7060000896454,167786.0
54,2015-05-29,16.684000015259,24.0,16.684000015259,24.0,65.55999755859399,278461.0,2.6419999599457,126730.0
55,2015-06-01,16.663999557495,24.0,16.663999557495,24.0,64.879997253418,217982.0,2.6489999294281,125928.0
56,2015-06-02,16.783000946045,41683.0,16.783000946045,41683.0,65.48999786377,245909.0,2.6979999542236,145374.0
57,2015-06-03,16.464000701904,2.0,16.464000701904,2.0,63.799999237061,262656.0,2.6340000629425,128116.0
58,2015-06-04,16.089000701904,11.0,16.089000701904,11.0,62.029998779296996,235207.0,2.6259999275208,166240.0
