,Date,GoldOpenPrice,GoldHighPrice,GoldLowPrice,GoldClosePrice,GoldVolume,SilverOpenPrice,SilverHighPrice,SilverLowPrice,SilverClosePrice,SilverVolume,OilOpenPrice,OilHighPrice,OilLowPrice,OilClosePrice,OilVolume,GasOpenPrice,GasHighPrice,GasLowPrice,GasClosePrice,GasVolume
0,2015-03-12,15.560000419617,15.564999580383,15.465000152588,15.493000030518001,94.0,15.560000419617,15.564999580383,15.465000152588,15.493000030518001,94.0,57.919998168945,58.810001373290994,56.509998321533004,57.080001831055,129734.0,2.8280000686645,2.864000082016,2.7249999046326,2.7339999675751,155481.0
1,2015-03-13,15.609999656677001,15.619999885559,15.47500038147,15.477000236511,59.0,15.609999656677001,15.619999885559,15.47500038147,15.477000236511,59.0,57.029998779296996,57.400001525879,54.430000305176,54.669998168945,84085.0,2.7490000724792005,2.7590000629425,2.6740000247955003,2.7269999980927,95866.0
2,2015-03-16,15.689999580383,15.715000152588,15.5,15.600999832153,71.0,15.689999580383,15.715000152588,15.5,15.600999832153,71.0,54.409999847412,54.639999389648,52.5,53.439998626709006,15638.0,2.704999923706,2.7479999065398997,2.6800000667572,2.7160000801086004,82668.0
3,2015-03-17,15.489999771117999,15.635000228882001,15.489999771117999,15.562000274658,39.0,15.489999771117999,15.635000228882001,15.489999771117999,15.562000274658,39.0,54.099998474121,54.38000106811499,52.569999694824,53.509998321533004,240285.0,2.7420001029968,2.8580000400543,2.7400000095367,2.8550000190735,159236.0
4,2015-03-18,15.47500038147,15.89999961853,15.449999809265,15.52499961853,19.0,15.47500038147,15.89999961853,15.449999809265,15.52499961853,19.0,53.279998779296996,56.840000152588,52.680000305176,55.909999847412,262440.0,2.8540000915527,2.9349999427794997,2.7750000953674,2.920000076294,153505.0
5,2015-03-19,15.904999732971001,16.10000038147,15.859999656677001,16.097999572754,8.0,15.904999732971001,16.10000038147,15.859999656677001,16.097999572754,8.0,56.180000305176,56.200000762939,53.909999847412,54.430000305176,209646.0,2.9089999198913996,2.9279999732971,2.7760000228882005,2.8129999637604,141093.0
6,2015-03-20,16.254999160767,16.819999694824,16.254999160767,16.867000579834002,93.0,16.254999160767,16.819999694824,16.254999160767,16.867000579834002,93.0,54.459999084473,55.669998168945,53.549999237061,55.319999694824,186667.0,2.8310000896454,2.9189999103546,2.7620000839233,2.7860000133514,145544.0
7,2015-03-23,16.700000762939,16.97500038147,16.670000076294,16.871999740601,149.0,16.700000762939,16.97500038147,16.670000076294,16.871999740601,149.0,55.240001678466996,56.189998626709006,54.11999893188501,55.919998168945,191637.0,2.7409999370575,2.7560000419617,2.6909999847412003,2.7330000400543,111016.0
8,2015-03-24,16.979999542235998,17.0,16.860000610352,16.962999343872006,295.0,16.979999542235998,17.0,16.860000610352,16.962999343872006,295.0,55.830001831055,56.790000915527,54.849998474121,55.110000610352,197476.0,2.7509999275207995,2.8099999427794997,2.7349998950957994,2.7860000133514,87787.0
9,2015-03-25,16.950000762939,17.045000076294,16.950000762939,16.979999542235998,146.0,16.950000762939,17.045000076294,16.950000762939,16.979999542235998,146.0,55.090000152588,57.169998168945,54.700000762939,56.479999542236,256043.0,2.7839999198913996,2.7929999828339,2.7119998931884997,2.7230000495911004,54868.0
